ID,DSO,mean,std,count,mean_rage,std_rage,count_rage,mean_ang,std_ang,count_ang
7,3.0,2.3125230508783075,0.6813223435771112,7,3.474499840567109,0.14424575865468847,5,3.350563770233568,0.3294869452432113,5
7,4.0,1.7411953395314899,0.5548574997526681,7,3.488300377936827,0.3662218692784274,6,3.4904460880135133,0.45115253586256693,6
7,5.0,1.7591432026769953,0.3604241935808645,8,3.48548998699102,0.3304679070802749,8,3.267225786704587,0.21645231068315846,8
7,6.0,2.1510168616641585,0.8251389124412888,14,3.737694749242747,0.3932518079941262,13,3.4401114557209906,0.34190312650897337,13
7,7.0,1.8363232553843696,0.511778409821707,32,3.4169528390449595,0.26822758593496104,30,3.163758100136089,0.2615843710715248,30
7,8.0,1.954704998945595,0.7373080553830929,37,3.4717686586385423,0.3888238262331161,35,3.206167865881106,0.4028102451589867,35
7,9.0,2.110139741596138,0.8774249753012981,41,3.4347635794857374,0.37783281770302996,37,3.2672297013584606,0.41014397107242023,37
7,10.0,2.057801716570558,0.7284890074342315,36,3.427924747675087,0.3588030751281943,29,3.3048448717594567,0.35363668778663304,29
7,11.0,1.7671352131023055,0.4470390010261443,32,3.5074277357614285,0.4304215344478066,27,3.2910951821955114,0.37392702346115975,27
7,12.0,1.807770428273623,0.4590163509844198,29,3.4283226095786827,0.3128186411711273,23,3.201838592887083,0.3911924477026737,23
7,13.0,1.7938021914659061,0.49726751371731753,34,3.321404473847803,0.25781826872281116,29,3.2137507050978376,0.2323641706609679,29
7,14.0,1.7778628094739037,0.425157190600885,27,3.3039601377956207,0.2640069909419683,24,3.191348717897277,0.2852894567219907,24
7,15.0,1.8704809101194437,0.49922741562672984,27,3.362479210461932,0.36276024417017505,22,3.306790018171742,0.3296260133866532,22
7,16.0,1.6774497400063928,0.24762717920897728,20,3.271463733922977,0.3070384782950149,16,3.3077500023437953,0.2848660292052436,16
7,17.0,1.7326897699366712,0.3641142317672942,14,3.296974614045162,0.3788963357644229,10,3.335331892857936,0.3972698664808986,10
7,18.0,1.7395404077735694,0.3695053810776831,16,3.28223487680227,0.37855644647759545,14,3.316869642779733,0.2648092077534127,14
7,19.0,1.5565647500142534,0.08689987451537572,12,3.154731698335186,0.2146039803544532,9,3.1655191892167003,0.17517358819828682,9
7,20.0,1.5546350705548693,0.08349069883224515,13,3.249444122755848,0.23935950579955062,12,3.2532053892557964,0.2714075267274069,12
7,22.0,1.6604917723268184,0.16090730098809466,7,3.3507033108060047,0.25139397931765173,7,3.4681389545135617,0.3407771075963018,7
7,23.0,1.5744832021371096,0.11377864367110664,7,3.3884026089350487,0.25733624004037053,4,3.3348645212220025,0.24350160430978018,4
7,24.0,1.5744832021371096,0.11377864367110664,7,3.4700322400060273,0.43791915074381527,6,3.4452154334112053,0.39235792960897337,6
7,25.0,1.6738231907632282,0.28468854744194616,4,3.14321793055235,0.21567408086523351,4,3.1608248574925932,0.23914855882469688,4
7,30.0,1.6318222489302487,0.17379974903075143,3,3.5010669413493436,0.084134285607839,2,3.540766667894749,0.18603354104530048,2
