ID,DSO,mean,std,count,mean_rage,std_rage,count_rage,mean_ang,std_ang,count_ang
5,3.0,2.1597641924071858,0.5665680042605268,4,3.6006076531159716,0.062297937202476734,2,3.5241979306114026,0.1011621575622839,2
5,4.0,1.780377999859678,0.4095705943158706,5,3.5470781615211493,0.5189400933850074,5,3.560230929911479,0.47295228473628337,5
5,5.0,2.0876092135738284,0.6667288573675927,5,3.559411738817316,0.4654650809485335,5,3.4693207028541067,0.38300556321687235,5
5,6.0,2.173314174299081,1.159429296654891,6,3.5988271483519325,0.37606162570346763,5,3.4149175747648264,0.3375854667835136,5
5,7.0,1.8044366214848597,0.5421857586739685,18,3.4305401022869666,0.32910880608195797,16,3.342623249402667,0.32251123024447614,16
5,8.0,1.812605982625642,0.4781882008629527,20,3.3769845425398892,0.3275681190637558,20,3.151148832862487,0.3975030214394803,20
5,9.0,2.1559284138155657,0.8756667870670433,26,3.4850307304444383,0.4113823619444352,23,3.3682562474598763,0.4653447731311482,23
5,10.0,2.0235588241841542,0.8717432945011314,16,3.437227082553577,0.27361265956517994,12,3.334710413204695,0.27770806043958685,12
5,11.0,1.884310210088925,0.6880724968523406,23,3.50222569494354,0.4215891729805174,22,3.3722318779779177,0.4119675004273001,22
5,12.0,1.8712509909474768,0.6263477440838724,17,3.4709684825749276,0.3421804204158052,16,3.262701880579121,0.43729340717005183,16
5,13.0,2.0288697045378243,0.8103560524999068,11,3.362317765698716,0.319706509324436,10,3.231060029289273,0.36170846675467677,10
5,14.0,2.0849925670949916,0.6829045341859109,13,3.4728924541294877,0.3307977293160522,13,3.294978219953119,0.4040456878892751,13
5,15.0,1.8314838216468707,0.5588314515673973,14,3.370295202936031,0.3447812162444131,12,3.279805087959847,0.36525690823054474,12
5,16.0,1.6700295258427282,0.3665704548826486,7,3.342389338154021,0.28861016051872246,7,3.3273701982310584,0.2730675765290046,7
5,17.0,1.670510755815561,0.19320172243138,5,3.4995408858773858,0.46804255297366526,3,3.664576526058299,0.39630784999242,3
5,18.0,1.7006973228070887,0.29291855203207146,6,3.350009160217452,0.36300961961959305,5,3.3965875006524855,0.2414781791867347,5
5,19.0,1.6459514829990844,0.22894513191365848,4,3.3211036153620896,0.3292966516561226,3,3.530899298866814,0.35154615353097074,3
